{'time':'2021-02-18 16:14:59,891','message': {'state':'[[  0 100 200  13 133 266]]', 'action': '31', 'next_state': '[[  0  90 180  13 166 332]]', 'reward': '-0.46084337349397586'}}
{'time':'2021-02-18 16:15:07,049','message': {'state':'[[  0  90 180  13 166 332]]', 'action': '18', 'next_state': '[[  0  90 180  13 182 365]]', 'reward': '-0.4617486338797814'}}
{'time':'2021-02-18 16:15:27,611','message': {'state':'[[  0  90 180  13 182 365]]', 'action': '18', 'next_state': '[[  0  90 180  13 200 401]]', 'reward': '-0.4651741293532339'}}
{'time':'2021-02-18 16:15:32,766','message': {'state':'[[  0  90 180  13 200 401]]', 'action': '10', 'next_state': '[[  0  45  90  13 300 601]]', 'reward': '-0.4767441860465116'}}
{'time':'2021-02-18 16:15:37,970','message': {'state':'[[  0  45  90  13 300 601]]', 'action': '18', 'next_state': '[[  2  45  90  76 330 661]]', 'reward': '-0.3614635783820074'}}
{'time':'2021-02-18 16:15:43,255','message': {'state':'[[  2  45  90  76 330 661]]', 'action': '18', 'next_state': '[[  2  45  90  76 363 727]]', 'reward': '-0.372008547008547'}}
{'time':'2021-02-18 16:15:50,022','message': {'state':'[[  2  45  90  76 363 727]]', 'action': '18', 'next_state': '[[  2  45  90  76 399 799]]', 'reward': '-0.3815277777777778'}}
{'time':'2021-02-18 16:15:55,202','message': {'state':'[[  2  45  90  76 399 799]]', 'action': '18', 'next_state': '[[  2  45  90  76 438 878]]', 'reward': '-0.3891414141414141'}}
{'time':'2021-02-18 16:16:00,372','message': {'state':'[[  2  45  90  76 438 878]]', 'action': '18', 'next_state': '[[  2  45  90  76 481 965]]', 'reward': '-0.3961662075298439'}}
{'time':'2021-02-18 16:16:05,721','message': {'state':'[[  2  45  90  76 481 965]]', 'action': '18', 'next_state': '[[   2   45   90   76  529 1061]]', 'reward': '-0.40352965747702585'}}
{'time':'2021-02-18 16:16:11,049','message': {'state':'[[   2   45   90   76  529 1061]]', 'action': '18', 'next_state': '[[   2   45   90   76  581 1167]]', 'reward': '-0.40866514979142965'}}
{'time':'2021-02-18 16:16:16,974','message': {'state':'[[   2   45   90   76  581 1167]]', 'action': '18', 'next_state': '[[   2   45   90   76  639 1283]]', 'reward': '-0.4148895790200138'}}
{'time':'2021-02-18 16:16:22,164','message': {'state':'[[   2   45   90   76  639 1283]]', 'action': '18', 'next_state': '[[   2   45   90   76  702 1411]]', 'reward': '-0.41924463250274246'}}
{'time':'2021-02-18 16:16:27,343','message': {'state':'[[   2   45   90   76  702 1411]]', 'action': '18', 'next_state': '[[   0   45   90   76  772 1552]]', 'reward': '-0.4461538461538461'}}
{'time':'2021-02-18 16:16:33,093','message': {'state':'[[   0   45   90   76  772 1552]]', 'action': '18', 'next_state': '[[   0   45   90   76  849 1707]]', 'reward': '-0.45046620046620045'}}
{'time':'2021-02-18 16:16:39,115','message': {'state':'[[   0   45   90   76  849 1707]]', 'action': '18', 'next_state': '[[   3   45   90   76  933 1877]]', 'reward': '-0.42058615819209044'}}
{'time':'2021-02-18 16:16:46,808','message': {'state':'[[   3   45   90   76  933 1877]]', 'action': '18', 'next_state': '[[   4   45   90   76 1026 2064]]', 'reward': '-0.4131663455362877'}}
{'time':'2021-02-18 16:16:52,376','message': {'state':'[[   4   45   90   76 1026 2064]]', 'action': '18', 'next_state': '[[   2   45   90   76 1128 2270]]', 'reward': '-0.4383732243627164'}}
{'time':'2021-02-18 16:16:57,907','message': {'state':'[[   2   45   90   76 1128 2270]]', 'action': '18', 'next_state': '[[   3   45   90   76 1240 2497]]', 'reward': '-0.42967382657120123'}}
{'time':'2021-02-18 16:16:57,907','message': {'episode': '3/1000', 'score': '22', 'e': '0.095'}}
{'time':'2021-02-18 16:16:57,907','message': {'Steps': '22', 'Episode': '3', 'Total Reward': '-9.34788436988015'}}
{'time':'2021-02-18 16:17:05,608','message': {'state':'[[  3 100 200  76 100 200]]', 'action': '18', 'next_state': '[[  2 100 200  76 110 220]]', 'reward': '-0.14454545454545453'}}
{'time':'2021-02-18 16:17:10,778','message': {'state':'[[  2 100 200  76 110 220]]', 'action': '22', 'next_state': '[[  2  50 100  76 110 220]]', 'reward': '-0.13454545454545452'}}
{'time':'2021-02-18 16:17:23,070','message': {'state':'[[  2  50 100  76 110 220]]', 'action': '18', 'next_state': '[[  0  50 100  76 121 242]]', 'reward': '-0.1859504132231405'}}
{'time':'2021-02-18 16:17:28,427','message': {'state':'[[  0  50 100  76 121 242]]', 'action': '18', 'next_state': '[[  0  50 100  76 133 266]]', 'reward': '-0.2142857142857143'}}
{'time':'2021-02-18 16:17:34,865','message': {'state':'[[  0  50 100  76 133 266]]', 'action': '48', 'next_state': '[[  0  37  75  76 199 399]]', 'reward': '-0.29434210526315785'}}
